"","StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"91","nep.fu.15","Norway lobster in Division 7.a, Functional Unit 15","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREY","GREEN","GREEN","GREEN"
"92","nep.fu.15","Norway lobster in Division 7.a, Functional Unit 15","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREY","Celtic Seas Ecoregion","GREY","GREY","GREY","GREY","GREY"
"93","nep.fu.16","Norway lobster in divisions 7.b-c and 7.j-k, Functional Unit 16","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"94","nep.fu.16","Norway lobster in divisions 7.b-c and 7.j-k, Functional Unit 16","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"95","nep.fu.17","Norway lobster in Division 7.b, Functional Unit 17","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","RED","GREY","GREEN","RED","RED"
"96","nep.fu.17","Norway lobster in Division 7.b, Functional Unit 17","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"97","nep.fu.19","Norway lobster in divisions 7.a, 7.g, and 7.j, Functional Unit 19","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","RED","GREY","GREEN","RED","RED"
"98","nep.fu.19","Norway lobster in divisions 7.a, 7.g, and 7.j, Functional Unit 19","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREY","Celtic Seas Ecoregion","GREY","GREY","GREY","GREY","GREY"
"99","nep.fu.2021","Norway lobster in divisions 7.g and 7.h, functional units 20 and 21","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"100","nep.fu.2021","Norway lobster in divisions 7.g and 7.h, functional units 20 and 21","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREY","GREY","GREEN","GREY","GREY"
